"","Time","Name","Instructor","Location"
"Saturday, 15 February 2025","08:00 - 08:30","VIRTUAL CORE","VIRTUAL INSTRUCTOR","LAVINGTON"
"Saturday, 15 February 2025","08:00 - 08:45","BODYPUMP","LILIN","DARWIN CITY (IFITNESS 247)"
"Saturday, 15 February 2025","08:00 - 09:00","WOD","CLUB LIME ATHLETICA","PORT KENNEDY"
"Saturday, 15 February 2025","08:00 - 08:55","CARDIO BLAST","JULIE","PORT KENNEDY"
"Saturday, 15 February 2025","08:00 - 08:30","RPM","RHYS","KENNEDY PARK"
"Saturday, 15 February 2025","08:00 - 08:45","BODYPUMP","NAOMI","WILLIAMSTOWN"
"Saturday, 15 February 2025","08:00 - 08:45","HIIT","TAMARA","BUTLER"
"Saturday, 15 February 2025","08:00 - 08:45","CYCLE","SIMON","BUTLER"
"Saturday, 15 February 2025","08:00 - 08:45","HIIT","JENNIFER","CLARKSON"
"Saturday, 15 February 2025","08:00 - 08:45","RPM","SAM","WANNEROO"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER PILATES","MEGAN","BUTLER"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER PILATES","CHRISSIE","CLARKSON"
"Saturday, 15 February 2025","08:15 - 09:00","LIME CIRCUIT","HUSS","WOLLONGONG"
"Saturday, 15 February 2025","08:15 - 09:15","BODYPUMP","BRENDAN","NORMAN PARK (ACTIVE LIFE)"
"Saturday, 15 February 2025","08:15 - 09:15","BODYPUMP","HAYLEY","UPWEY"
"Saturday, 15 February 2025","08:15 - 09:15","BLEND","LINDA","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","08:15 - 09:00","SPIN","DANI","MENTONE"
"Saturday, 15 February 2025","08:15 - 09:05","REFORMER PILATES","REBECCA","MENTONE"
"Saturday, 15 February 2025","08:15 - 09:00","REFORMER","KATY","WILLIAMSTOWN"
"Saturday, 15 February 2025","08:15 - 09:10","XTREME HIP HOP","SHONA","MANDURAH"
"Saturday, 15 February 2025","08:15 - 09:00","REFORMER PILATES","LEILANE","WANNEROO"
"Saturday, 15 February 2025","08:30 - 09:30","BODYPUMP","DEB","GOLD CREEK COUNTRY CLUB"
"Saturday, 15 February 2025","08:30 - 09:30","BODYATTACK","BREE","WOLLONGONG"
"Saturday, 15 February 2025","08:30 - 09:30","RPM","ADAM L","WOLLONGONG"
"Saturday, 15 February 2025","08:30 - 09:00","GRIT STRENGTH","DAMIEN","GUNGAHLIN PLATINUM"
"Saturday, 15 February 2025","08:30 - 09:30","BODYPUMP","PETER","ANU"
"Saturday, 15 February 2025","08:30 - 09:25","BODYPUMP","ANTONELLA","MAWSON"
"Saturday, 15 February 2025","08:30 - 09:15","REFORMER PILATES","LISA","TENERIFFE"
"Saturday, 15 February 2025","08:30 - 09:30","SHRED","ELISSA","HIIT REPUBLIC CISAC"
"Saturday, 15 February 2025","08:30 - 09:00","SPIN","JANE","CAMPBELLTOWN"
"Saturday, 15 February 2025","08:30 - 09:30","GENTLE FLOW YOGA","JANET","NORMAN PARK (ACTIVE LIFE)"
"Saturday, 15 February 2025","08:30 - 09:30","BODYATTACK","SHELLEY","TOORMINA"
"Saturday, 15 February 2025","08:30 - 09:30","SPIN","KIM","TOORMINA"
"Saturday, 15 February 2025","08:30 - 09:20","REFORMER PILATES","DEE","FIVE DOCK"
"Saturday, 15 February 2025","08:30 - 09:15","LIME CIRCUIT","JESS/DANI","SCORESBY"
"Saturday, 15 February 2025","08:30 - 09:15","REFORMER - INTERMEDIATE","S.T","CARIBBEAN PARK"
"Saturday, 15 February 2025","08:30 - 09:15","REFORMER PILATES","SARAH","MULGRAVE"
"Saturday, 15 February 2025","08:30 - 09:15","LIME CIRCUIT","ANDREW","FIVE DOCK"
"Saturday, 15 February 2025","08:30 - 09:30","SHRED","KARI","HIIT REPUBLIC COBURG"
"Saturday, 15 February 2025","08:30 - 09:00","LES MILLS SPRINT","KIM","WODONGA"
"Saturday, 15 February 2025","08:30 - 09:25","BODYSTEP","TRUDI","GOULBURN - LANSDOWNE STREET"
"Saturday, 15 February 2025","08:30 - 09:30","BODYATTACK","PENNY","BLACKTOWN"
"Saturday, 15 February 2025","08:30 - 09:20","REFORMER PILATES","CLARE","PYRMONT"
"Saturday, 15 February 2025","08:30 - 09:30","BODYSTEP","MICHAEL","PENRITH - MULGOA ROAD"
"Saturday, 15 February 2025","08:30 - 09:15","RPM","LEANNE","COOLALINGA (IFITNESS 247)"
"Saturday, 15 February 2025","08:30 - 09:30","WOD","CLUB LIME ATHLETICA","MANDURAH"
"Saturday, 15 February 2025","08:30 - 09:30","HOT YOGA","SYLVIA","MENTONE"
"Saturday, 15 February 2025","08:30 - 09:25","BODYPUMP","MELISSA","MENTONE"
"Saturday, 15 February 2025","08:30 - 09:15","GENTLE FLOW YOGA","KEANA","MULGRAVE"
"Saturday, 15 February 2025","08:45 - 09:40","BODYPUMP","SZABINA","KINGSTON"
"Saturday, 15 February 2025","09:00 - 10:00","BODYPUMP","JEN","BELCONNEN (OATLEY COURT)"
"Saturday, 15 February 2025","09:00 - 10:00","BODYPUMP","KYLIE","BELCONNEN (CISAC PLATINUM)"
"Saturday, 15 February 2025","09:00 - 09:45","RPM","CHRIS","GUNGAHLIN PLATINUM"
"Saturday, 15 February 2025","09:00 - 10:00","BODYCOMBAT","NICOLE","GUNGAHLIN PLATINUM"
"Saturday, 15 February 2025","09:00 - 09:30","LES MILLS SPRINT","BRUCE","BELCONNEN (CISAC PLATINUM)"
"Saturday, 15 February 2025","09:00 - 10:00","RPM","ANNE-MAREE","WAGGA WAGGA"
"Saturday, 15 February 2025","09:00 - 09:55","BODYPUMP","LAUREN","QUEANBEYAN"
"Saturday, 15 February 2025","09:00 - 10:00","VINYASA YOGA","GERLINDE","MOOLOOLABA"
"Saturday, 15 February 2025","09:00 - 10:00","GENTLE FLOW YOGA","RODNEY","TENERIFFE"
"Saturday, 15 February 2025","09:00 - 09:30","LIME STRETCH","MICHELLE","DEAGON"
"Saturday, 15 February 2025","09:00 - 10:00","BODYPUMP","EMMA","MALVERN"
"Saturday, 15 February 2025","09:00 - 09:30","METAFIT","EMMA","BELCONNEN (CISAC PLATINUM)"
"Saturday, 15 February 2025","09:00 - 09:45","LIME BOX","CLARE","CONDER"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER PILATES","KELSIE","UPWEY"
"Saturday, 15 February 2025","09:00 - 09:45","HOT YOGA","JAMIE LEE","UPWEY"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER PILATES","ALEISHA","OAKLEIGH"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER - INTERMEDIATE","ETAIZE","PARKDALE"
"Saturday, 15 February 2025","09:00 - 09:45","REFORMER JUMP","NICKY/ASH","SCORESBY"
"Saturday, 15 February 2025","09:00 - 10:00","PILATES","LAURA","NOOSAVILLE"
"Saturday, 15 February 2025","09:00 - 10:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","09:00 - 11:45","CRECHE 1 TO 10 YEARS","OLIVIA","QUEANBEYAN"
"Saturday, 15 February 2025","09:00 - 11:45","CRECHE UNDER 13 MONTHS","OLIVIA","QUEANBEYAN"
